loc_code	date	lab_project_id	lab_sample_id	chem_variable	value	units	below_loq	loq	elneutr
VEDP002	2009-12-08	0	10295	CondL	105	<U+00B5>S/cm	NA	-99	-0.192696
VEDP002	2009-12-08	0	10295	Fe	0.3405550582	meq/l	NA	-99	-0.192696
TLAP005	2011-04-19	0	10297	CondL	89	<U+00B5>S/cm	NA	-99	-0.301197
TLAP005	2011-04-19	0	10297	Fe	0.0017905103	meq/l	NA	-99	-0.301197
TLAP003	2011-04-19	0	10298	CondL	173	<U+00B5>S/cm	NA	-99	-0.211159
TLAP003	2011-04-19	0	10298	Fe	0.1973142346	meq/l	NA	-99	-0.211159
TLAP002	2011-04-19	0	10299	CondL	188	<U+00B5>S/cm	NA	-99	-0.094695
TLAP002	2011-04-19	0	10299	Fe	0.1156669651	meq/l	NA	-99	-0.094695
TLAP001	2011-04-19	0	10300	CondL	162	<U+00B5>S/cm	NA	-99	0.10025
TLAP001	2011-04-19	0	10300	Fe	0.315129812	meq/l	NA	-99	0.10025
TLAP006	2011-04-19	0	10301	CondL	61	<U+00B5>S/cm	NA	-99	-0.005932
TLAP006	2011-04-19	0	10301	Fe	0.0311548791	meq/l	NA	-99	-0.005932
TLAP012	2011-04-19	0	10302	CondL	78	<U+00B5>S/cm	NA	-99	0.18513
TLAP012	2011-04-19	0	10302	Fe	0.3054610564	meq/l	NA	-99	0.18513
KEVP005	2011-04-19	0	10303	CondL	1240	<U+00B5>S/cm	NA	-99	0.033472
KEVP005	2011-04-19	0	10303	Fe	0.5837063563	meq/l	NA	-99	0.033472
KEVP004	2011-04-19	0	10304	CondL	648	<U+00B5>S/cm	NA	-99	-0.052116
KEVP004	2011-04-19	0	10304	Fe	0.3083258729	meq/l	NA	-99	-0.052116
KEVP003	2011-04-19	0	10305	CondL	622	<U+00B5>S/cm	NA	-99	0.024449
KEVP003	2011-04-19	0	10305	Fe	0.0429722471	meq/l	NA	-99	0.024449
VEDP003	2009-12-08	0	10308	CondL	32	<U+00B5>S/cm	NA	-99	0.342957
VEDP003	2009-12-08	0	10308	Fe	0.1024171889	meq/l	NA	-99	0.342957
VEDP004	2009-12-08	0	10309	CondL	109	<U+00B5>S/cm	NA	-99	-0.025015
VEDP004	2009-12-08	0	10309	Fe	0.1375111907	meq/l	NA	-99	-0.025015
SOTP004	2009-12-08	0	10310	CondL	465	<U+00B5>S/cm	NA	-99	0.096406
SOTP004	2009-12-08	0	10310	Fe	0.672515667	meq/l	NA	-99	0.096406
VRIP016	2009-03-09	0	10311	CondL	261	<U+00B5>S/cm	NA	-99	-0.006926
VRIP016	2009-03-09	0	10311	Fe	0.0089525515	meq/l	NA	-99	-0.006926
VRIP026	2009-03-09	0	10312	CondL	394	<U+00B5>S/cm	NA	-99	0.015644
VRIP026	2009-03-09	0	10312	Fe	0.0193375112	meq/l	NA	-99	0.015644
VRIP027	2009-03-09	0	10313	CondL	390	<U+00B5>S/cm	NA	-99	0.01854
VRIP027	2009-03-09	0	10313	Fe	0.5915846016	meq/l	NA	-99	0.01854
VRIP048	2009-03-09	0	10314	CondL	338	<U+00B5>S/cm	NA	-99	0.017786
VRIP048	2009-03-09	0	10314	Fe	0.2392121755	meq/l	NA	-99	0.017786
VRIP031	2009-03-09	0	10316	CondL	452	<U+00B5>S/cm	NA	-99	0.011153
VRIP031	2009-03-09	0	10316	Fe	0.0601611459	meq/l	NA	-99	0.011153
VRIP039	2009-03-09	0	10318	CondL	601	<U+00B5>S/cm	NA	-99	0.015267
VRIP039	2009-03-09	0	10318	Fe	0.3853178156	meq/l	NA	-99	0.015267
VRIP038	2009-03-09	0	10320	CondL	405	<U+00B5>S/cm	NA	-99	0.053545
VRIP038	2009-03-09	0	10320	Fe	0.2811101164	meq/l	NA	-99	0.053545
VRIP030	2009-03-09	0	10323	CondL	148	<U+00B5>S/cm	NA	-99	0.067596
VRIP030	2009-03-09	0	10323	Fe	0.1561324978	meq/l	NA	-99	0.067596
VRIP032	2009-03-09	0	10325	CondL	373	<U+00B5>S/cm	NA	-99	-0.016034
VRIP032	2009-03-09	0	10325	Fe	0.0354521038	meq/l	NA	-99	-0.016034
VRIP006	2009-03-09	0	10326	CondL	621	<U+00B5>S/cm	NA	-99	0.011332
VRIP006	2009-03-09	0	10326	Fe	0.3530886303	meq/l	NA	-99	0.011332
SNEP001	2009-03-09	0	10328	CondL	141	<U+00B5>S/cm	NA	-99	-0.195784
SNEP001	2009-03-09	0	10328	Fe	0.0089525515	meq/l	NA	-99	-0.195784
SNEP002	2009-03-09	0	10329	CondL	121	<U+00B5>S/cm	NA	-99	-0.100665
SNEP002	2009-03-09	0	10329	Fe	0.0637421665	meq/l	NA	-99	-0.100665
SNEP003	2009-03-09	0	10330	CondL	381	<U+00B5>S/cm	NA	-99	-0.055859
SNEP003	2009-03-09	0	10330	Fe	0.7606087735	meq/l	NA	-99	-0.055859
RONP102	2010-08-30	0	10331	CondL	219	<U+00B5>S/cm	NA	-99	0.011392
RONP102	2010-08-30	0	10331	Fe	0.0335541629	meq/l	NA	-99	0.011392
RONP115	2010-08-30	0	10332	CondL	227	<U+00B5>S/cm	NA	-99	-0.00755
RONP115	2010-08-30	0	10332	Fe	0.0045120859	meq/l	NA	-99	-0.00755
RONP106	2010-08-30	0	10334	CondL	80	<U+00B5>S/cm	NA	-99	0.199042
RONP106	2010-08-30	0	10334	Fe	0.0196956132	meq/l	NA	-99	0.199042
DYLP104	2010-03-05	0	10336	CondL	560	<U+00B5>S/cm	NA	-99	-0.007184
DYLP104	2010-03-05	0	10336	Fe	1.0309758281	meq/l	NA	-99	-0.007184
DYLP223	2010-03-05	0	10337	CondL	1252	<U+00B5>S/cm	NA	-99	-0.027307
DYLP223	2010-03-05	0	10337	Fe	0.1131602507	meq/l	NA	-99	-0.027307
DYLP085	2010-03-05	0	10338	CondL	798	<U+00B5>S/cm	NA	-99	-0.030628
DYLP085	2010-03-05	0	10338	Fe	0.0050134288	meq/l	NA	-99	-0.030628
DYLP137	2010-03-05	0	10339	CondL	618	<U+00B5>S/cm	NA	-99	-0.023971
DYLP137	2010-03-05	0	10339	Fe	0.175828111	meq/l	NA	-99	-0.023971
ZWAP051	2011-04-14	0	10424	CondL	227	<U+00B5>S/cm	NA	-99	0.081972
ZWAP051	2011-04-14	0	10424	Fe	0.5748254252	meq/l	NA	-99	0.081972
ZWAP116	2011-04-14	0	10425	CondL	109	<U+00B5>S/cm	NA	-99	0.018727
ZWAP116	2011-04-14	0	10425	Fe	0.0580125336	meq/l	NA	-99	0.018727
ZWAP170	2011-04-14	0	10426	CondL	80	<U+00B5>S/cm	NA	-99	0.16156
ZWAP170	2011-04-14	0	10426	Fe	0.3043867502	meq/l	NA	-99	0.16156
ZWAP206	2011-04-14	0	10427	CondL	174	<U+00B5>S/cm	NA	-99	-0.334797
